,Unnamed: 0,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,amount_oldbalanceOrg,orig_transaction_error,dest_transaction_error,orig_dest,transaction_duration
2186570,2186570,185,CASH_OUT,131098.97,C1009454633,0.0,0.0,C1445488642,1830225.78,1961324.75,0,0,not equal,error,error,C-C,less than a month
5301781,5301781,373,CASH_OUT,199694.54,C1770667254,0.0,0.0,C403532226,1811642.11,2011336.65,0,0,not equal,error,error,C-C,less than a month
5583745,5583745,394,CASH_OUT,20447.36,C231530535,7181.0,0.0,C791136241,1543.62,21990.98,0,0,not equal,error,no error,C-C,less than a month
2984498,2984498,231,PAYMENT,4076.62,C1592738815,0.0,0.0,M1437745087,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
4424367,4424367,322,PAYMENT,12482.81,C255857088,112319.1,99836.29,M987835683,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
428588,428588,18,CASH_IN,66775.57,C884680556,74357.0,141132.57,C2075280061,4186768.04,4119992.47,0,0,not equal,error,error,C-C,less than one day
3827201,3827201,282,CASH_OUT,142914.37,C577280244,81835.0,0.0,C1173213830,302764.84,445679.21,0,0,not equal,error,no error,C-C,less than a month
3339688,3339688,253,PAYMENT,21539.23,C1918330697,65334.0,43794.77,M1278524018,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
417231,417231,18,CASH_OUT,236738.26,C723598536,60532.0,0.0,C894964785,146862.11,477560.53,0,0,not equal,error,error,C-C,less than one day
496370,496370,20,CASH_OUT,33529.08,C1466237939,0.0,0.0,C1867792760,613506.68,1782304.08,0,0,not equal,error,error,C-C,less than one day
3184104,3184104,239,PAYMENT,10738.45,C1713487287,6305.0,0.0,M1196388463,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
4468981,4468981,324,CASH_OUT,518650.45,C1917757395,0.0,0.0,C231624043,4730739.15,5249389.6,0,0,not equal,error,error,C-C,less than a month
5967075,5967075,406,CASH_IN,155646.82,C1881934657,3821449.28,3977096.1,C443271576,7876610.15,7720963.33,0,0,not equal,error,error,C-C,less than a month
2631408,2631408,209,CASH_OUT,73567.41,C424813156,0.0,0.0,C725095750,202356.81,275924.22,0,0,not equal,error,error,C-C,less than a month
3098947,3098947,235,CASH_IN,3403.36,C2026478871,3371031.78,3374435.14,C666691909,250793.25,247389.89,0,0,not equal,error,error,C-C,less than a month
5643697,5643697,396,TRANSFER,1314284.51,C357890399,0.0,0.0,C1299282467,2010857.19,3325141.7,0,0,not equal,error,error,C-C,less than a month
3789331,3789331,280,CASH_OUT,188503.76,C2002386525,2121.0,0.0,C1619027701,298017.25,486521.01,0,0,not equal,error,no error,C-C,less than a month
2082729,2082729,182,CASH_IN,115161.2,C132341197,8094.0,123255.2,C449292007,0.0,0.0,0,0,not equal,error,error,C-C,less than a month
4499378,4499378,325,PAYMENT,15042.96,C339012285,0.0,0.0,M1828339832,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
6148800,6148800,546,TRANSFER,685386.52,C934734319,0.0,0.0,C442807322,816928.69,1502315.21,0,0,not equal,error,no error,C-C,less than a month
4754774,4754774,333,PAYMENT,64.26,C1651666016,0.0,0.0,M2040893189,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
3593294,3593294,262,PAYMENT,13154.14,C1800016015,0.0,0.0,M205577181,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
613362,613362,34,TRANSFER,437306.1,C614603656,0.0,0.0,C427000833,586536.84,1023842.94,0,0,not equal,error,no error,C-C,less than a week
4659075,4659075,330,DEBIT,3954.82,C419812848,0.0,0.0,C1248280184,2578496.03,2582450.85,0,0,not equal,error,error,C-C,less than a month
2389189,2389189,201,CASH_IN,50081.38,C1104550590,401761.0,451842.38,C1417676865,2390308.7,2340227.32,0,0,not equal,error,error,C-C,less than a month
6194993,6194993,573,PAYMENT,9565.31,C1742073053,20883.0,11317.69,M812447188,0.0,0.0,0,0,not equal,no error,error,C-M,less than a month
3897806,3897806,284,CASH_OUT,36255.04,C509320101,21726.0,0.0,C2065865750,278964.81,315219.84,0,0,not equal,error,error,C-C,less than a month
128467,128467,11,CASH_OUT,9714.35,C555978441,0.0,0.0,C1396231845,29070.11,38784.46,0,0,not equal,error,error,C-C,less than one day
6232045,6232045,592,TRANSFER,490605.27,C970205637,11760.0,0.0,C1472906122,22992582.06,23483187.33,0,0,not equal,error,error,C-C,less than a month
1001591,1001591,45,CASH_OUT,23141.6,C299852785,123227.0,100085.4,C1310259417,1059732.96,1286276.6,0,0,not equal,error,error,C-C,less than a week
2947143,2947143,230,PAYMENT,62776.99,C58671599,201043.43,138266.45,M330559338,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
984401,984401,45,PAYMENT,1062.31,C220220027,105895.0,104832.69,M1669300804,0.0,0.0,0,0,not equal,error,error,C-M,less than a week
5359093,5359093,375,PAYMENT,53072.74,C1748621854,33755.1,0.0,M1999170793,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
5962355,5962355,406,PAYMENT,20973.97,C49890127,190721.75,169747.77,M59217599,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
1573170,1573170,155,CASH_IN,199008.06,C1356596459,2713431.42,2912439.48,C1379747425,484630.62,285622.55,0,0,not equal,error,error,C-C,less than a week
672918,672918,36,CASH_OUT,380435.0,C139774906,0.0,0.0,C2061973160,2329119.68,2709554.68,0,0,not equal,error,no error,C-C,less than a week
5491740,5491740,380,CASH_IN,2815.81,C1766385130,773363.64,776179.45,C1534512884,84799.63,81983.82,0,0,not equal,error,error,C-C,less than a month
4588351,4588351,328,PAYMENT,75765.4,C1324932557,5040.0,0.0,M251937016,0.0,0.0,0,0,not equal,error,error,C-M,less than a month
4963596,4963596,351,PAYMENT,2680.87,C1777043240,7333.47,4652.6,M1354776131,0.0,0.0,0,0,not equal,no error,error,C-M,less than a month
956823,956823,44,CASH_OUT,68836.27,C956768797,0.0,0.0,C1921705853,1994104.54,4026200.35,0,0,not equal,error,error,C-C,less than a week
1605602,1605602,156,TRANSFER,557524.23,C1611051368,153018.1,0.0,C93858290,7118072.36,7675596.59,0,0,not equal,error,error,C-C,less than a week
1405092,1405092,139,CASH_OUT,513700.56,C220148598,61956.0,0.0,C1421826342,2626575.03,3345544.65,0,0,not equal,error,error,C-C,less than a week
